PartNumber,widthX,lengthY,height,padInsideX,padX,landingInsideX,landingX,landingY
CKCS201610,2.0,1.6,1.05,0.7,0.65,0.3,1.1,2.1
CKCS252010,2.5,2.0,1.05,0.94,0.83,0.4,1.4,2.5
CKCS252012,2.5,2.0,1.25,0.94,0.83,0.4,1.4,2.5
CKCS3012,3.0,3.0,1.3,1.2,0.9,0.7,1.4,2.7
CKCS3015,3.0,3.0,1.7,1.2,0.9,0.7,1.4,2.7
CKCS4018,4.0,4.0,1.8,1.6,1.2,1.0,1.7,3.7
CKCS4020,4.0,4.0,2.0,1.6,1.2,1.0,1.7,3.7
CKCS4030,4.0,4.0,3.0,1.3,1.35,0.8,1.9,3.7
CKCS5040,5.0,5.0,4.0,1.8,1.6,1.1,2.2,4.2
CKCS5020,5.0,5.0,2.1,1.4,1.8,0.9,2.3,4.2
CKCS6020,6.0,6.0,2.1,2.3,1.85,1.8,2.4,5.7
CKCS6028,6.0,6.0,3.0,2.3,1.85,1.8,2.4,5.7
CKCS6045,6.0,6.0,4.7,2.3,1.85,1.8,2.4,5.7
CKCS8040,8.0,8.0,4.2,3.6,2.2,3.1,2.7,7.5
CKCS8060,8.0,8.0,6.2,3.6,2.2,3.1,2.7,7.5
CKCS8080,8.0,8.0,8.0,3.6,2.2,3.1,2.7,7.5
