PartNumber,lengthY,widthX,height,coreDiameter,cornerRadius,padX,padY,padInsideX,landingX,landingY,landingSpacingX,datasheet
MSS1246-XXX,12.0,12.0,4.6,10.05,2.5,3.5,5.0,5.0,4.0,5.5,8.5,"https://www.coilcraft.com/getmedia/960fadbe-0ca0-40e2-ae20-64edb15f3a07/mss1246.pdf"
MSS1246H-XXX,12.0,12.0,4.65,10.05,2.5,3.5,5.0,5.0,4.0,5.5,8.5,"https://www.coilcraft.com/getmedia/25f62276-187e-4c2c-9b9b-4568b9a9a423/mss1246h.pdf"
MSS1246T-XXX,12.0,12.0,4.6,10.05,2.5,3.5,5.0,5.0,4.0,5.5,8.5,"https://www.coilcraft.com/getmedia/dec41de3-f4b7-4c07-b144-cc21921ccfd5/mss1246t.pdf"
MSS1260-XXX,12.0,12.0,6.0,10.05,2.5,3.5,5.0,5.0,4.0,5.5,8.5,"https://www.coilcraft.com/getmedia/febefb9b-60f9-4a2c-8525-9c396f34e363/mss1260.pdf"
MSS1260H-XXX,12.0,12.0,6.0,10.05,2.5,3.5,5.0,5.0,4.0,5.5,8.5,"https://www.coilcraft.com/getmedia/352767ff-7c30-4312-ab84-989443b4047e/mss1260h.pdf"
MSS1260T-XXX,12.0,12.0,6.0,10.05,2.5,3.5,5.0,5.0,4.0,5.5,8.5,"https://www.coilcraft.com/getmedia/ce88ed45-272e-474e-a25e-981003944639/mss1260t.pdf"
MSS1278-XXX,12.0,12.0,7.8,10.05,2.5,3.5,5.0,5.0,4.0,5.5,8.5,"https://www.coilcraft.com/getmedia/6eb5ea38-40e4-41a6-9f92-3cdf8e907dcd/mss1278.pdf"
MSS1278H-XXX,12.0,12.0,7.8,10.05,2.5,3.5,5.0,5.0,4.0,5.5,8.5,"https://www.coilcraft.com/getmedia/72ffd561-3941-457d-b0e7-bb55b1b2d1a7/MSS1278H.pdf"
MSS1278T-XXX,12.0,12.0,7.8,10.05,2.5,3.5,5.0,5.0,4.0,5.5,8.5,"https://www.coilcraft.com/getmedia/e8d7b32a-defa-4500-bc0f-6ecc558fcde6/mss1278t.pdf"
MSS1210-XXX,12.0,12.0,10.0,10.05,2.5,2.5,5.0,7,3.0,5.0,9.5,"https://www.coilcraft.com/getmedia/f1a1bc5f-bdff-42f8-9ca8-1a0fb1d5094f/MSS1210.pdf"
MSS1210H-XXX,12.0,12.0,10.0,10.05,2.5,2.5,5.0,7,3.0,5.5,9.5,"https://www.coilcraft.com/getmedia/52078704-21eb-4c2b-9b72-1e07b4a2e252/mss1210h.pdf"
MSS1583-XXX,15.0,15.0,8.6,12.32,2.6,3.3,5.6,8.2,3.8,6.0,11.5,"https://www.coilcraft.com/getmedia/fbfe8ea7-f5d8-4484-859e-2285f427326d/mss1583.pdf"
MSS1514V-XXX,15.0,15.0,8.6,12.32,2.6,3.3,5.6,8.2,3.8,6.0,11.5,"https://www.coilcraft.com/getmedia/a1319e1c-d611-4bc0-be30-c17e52e4e667/mss1514v.pdf"
