PartNumber,widthX,lengthY,height,landingX,landingInsideX,landingY,padX,padOutsideX,padY,datasheet
HCI-5040,5.5,5.3,4.0,1.9,2.2,1.6,1.2,5.6,1.0,https://www.we-online.com/components/products/datasheet/744316022.pdf
HCI-7030,6.9,6.9,3.0,2.7,2.4,2.2,1.8,7.0,1.2,https://www.we-online.com/components/products/datasheet/744310013.pdf
HCI-7040,6.9,6.9,3.8,2.7,2.4,2.2,1.8,7.0,1.2,https://www.we-online.com/components/products/datasheet/744311022.pdf
HCI-7050,6.9,6.9,4.8,2.7,2.4,2.2,1.8,7.0,1.2,https://www.we-online.com/components/products/datasheet/744314024.pdf
HCI-1030,10.6,10.6,2.8,3.8,3.9,3.5,2.6,10.6,2.0,https://www.we-online.com/components/products/datasheet/744323020.pdf
HCI-1040,10.2,10.2,4.0,3.5,4.5,4,2.0,10.5,2.0,https://www.we-online.com/components/products/datasheet/744355215.pdf
HCI-1050,10.1,10.1,4.7,3.85,3.8,4,3.0,10.5,2.2,https://www.we-online.com/components/products/datasheet/744325016.pdf
HCI-1335,12.8,12.8,3.3,3.85,6.3,5,2.4,12.9,2.4,https://www.we-online.com/components/products/datasheet/744313025.pdf
HCI-1350,12.8,12.8,4.7,4.5,6,5,3.0,13.0,2.5,https://www.we-online.com/components/products/datasheet/744355019.pdf
HCI-1365,12.8,12.8,6.2,4.5,6,5,3.0,13.0,2.0,https://www.we-online.com/components/products/datasheet/744355122.pdf
HCI-2212,22.5,22.0,12,7,9.5,5.5,5.5,22.5,3.5,https://www.we-online.com/components/products/datasheet/74435580330.pdf
HCI-1890,18.2,18.2,8.9,6,7.3,6,4.5,18.3,4.2,https://www.we-online.com/components/products/datasheet/7443556082.pdf
