PartNumber,widthX,padInsideX,lengthY,padY,padX,height,landingOutsideX,landingInsideX,landingY,cornerRadius
FTC100765D,1,0.4,0.7,0.7,0.3,0.65,1.1,0.3,0.8,0.1
FTC121065S,1.2,0.4,1,1,0.4,0.65,1.3,0.3,1.1,0.2
FTC160865S,1.6,0.6,0.8,0.8,0.5,0.65,1.7,0.5,0.9,0.2
FTC160808S,1.6,0.6,0.8,0.8,0.5,0.8,1.7,0.5,0.9,0.2
FTC141265S,1.4,0.5,1.2,1.2,0.45,0.65,1.5,0.4,1.3,0.2
FTC141207S,1.4,0.5,1.2,1.2,0.45,0.7,1.5,0.4,1.3,0.2
FTC141208S,1.4,0.5,1.2,1.2,0.45,0.8,1.5,0.4,1.3,0.2
FTC201265S,2,0.6,1.2,1.2,0.7,0.65,2.1,0.5,1.3,0.2
FTC201208S,2,0.6,1.2,1.2,0.7,0.8,2.1,0.5,1.3,0.2
FTC201210S,2,0.6,1.2,1.2,0.7,1,2.1,0.5,1.3,0.2
FTC201212S,2,0.6,1.2,1.2,0.7,1.2,2.1,0.5,1.3,0.2
FTC201655S,2,0.6,1.6,1.6,0.7,0.55,2.1,0.5,1.7,0.2
FTC201665S,2,0.6,1.6,1.6,0.7,0.65,2.1,0.5,1.7,0.2
FTC201607S,2,0.6,1.6,1.6,0.7,0.7,2.1,0.5,1.7,0.2
FTC201608S,2,0.6,1.6,1.6,0.7,0.8,2.1,0.5,1.7,0.2
FTC201610S,2,0.6,1.6,1.6,0.7,1,2.1,0.5,1.7,0.2
FTC201610D,2,0.6,1.6,1.6,0.7,1,2.1,0.5,1.7,0.1
FTC201612S,2,0.6,1.6,1.6,0.7,1.2,2.1,0.5,1.7,0.2
FTC252075S,2.5,0.8,2,2,0.85,0.75,2.6,0.7,2.1,0.2
FTC252008S,2.5,0.8,2,2,0.85,0.8,2.6,0.7,2.1,0.2
FTC252010S,2.5,0.8,2,2,0.85,1,2.6,0.7,2.1,0.2
FTC252012S,2.5,0.8,2,2,0.85,1.2,2.6,0.7,2.5,0.2
FTC322510S,3.2,1.1,2.5,2.5,1.05,1,3.2,1,2.5,0.2
FTC322512S,3.2,1.1,2.5,2.5,1.05,1.2,3.2,1,2.5,0.2
FTC322520S,3.2,1.1,2.5,2.5,1.05,2,3.2,1,2.5,0.2
FTC303010D,3,1,3,3,1,1,3,0.9,3,0.1
FTC303012D,3,1,3,3,1,1.2,3,0.9,3,0.1
FTC303015D,3,1,3,3,1,1.5,3,0.9,3,0.1
FTC303018D,3,1,3,3,1,1.8,3,0.9,3,0.1
FTC303020D,3,1,3,3,1,2,3,0.9,3,0.1
FTC404010S,4.1,1.4,4.1,4.1,1.35,1,4.1,1.3,4.1,0.2
FTC404012S,4.1,1.4,4.1,4.1,1.35,1.2,4.1,1.3,4.1,0.2
FTC404020S,4.1,1.4,4.1,4.1,1.35,2,4.1,1.3,4.1,0.2
FTC404030S,4.1,1.4,4.1,4.1,1.35,3,4.1,1.3,4.1,0.2
