PartNumber,widthX,lengthY,height,padY,padX,padInsideX,landingInsideX,landingX,landingY
ANR252010, 2.5, 2.0, 1.0, 2, 0.75, 1.0, 0.8, 0.85, 2.2
ANR252012, 2.5, 2.0, 1.2, 2, 0.75, 1.0, 0.8, 0.85, 2.2
ANR3010, 3.0, 3.0, 1.0, 2.5, 0.75, 1.5, 1.5, 0.8, 2.7
ANR3012, 3.0, 3.0, 1.2, 2.5, 0.75, 1.5, 1.5, 0.8, 2.7
ANR3015, 3.0, 3.0, 1.5, 2.5, 0.75, 1.5, 1.5, 0.8, 2.7
ANR4010, 4.0, 4.0, 1.0, 3.3, 1.1, 1.8, 1.9, 1.1, 3.7
ANR4012, 4.0, 4.0, 1.2, 3.3, 1.1, 1.8, 1.9, 1.1, 3.7
ANR4018, 4.0, 4.0, 1.8, 3.3, 1.1, 1.8, 1.9, 1.1, 3.7
ANR4020, 4.0, 4.0, 2.0, 3.3, 1.1, 1.8, 1.9, 1.1, 3.7
ANR4026, 4.0, 4.0, 2.6, 3.3, 1.1, 1.8, 1.9, 1.1, 3.7
ANR4030, 4.0, 4.0, 3.0, 3.3, 1.1, 1.8, 1.9, 1.1, 3.7
ANR5012, 5.0, 5.0, 1.2, 4.0, 1.4, 2.2, 2.3, 1.4, 4.2
ANR5020, 5.0, 5.0, 2.0, 4.0, 1.4, 2.2, 2.3, 1.4, 4.2
ANR5040, 5.0, 5.0, 4.0, 4.0, 1.4, 2.2, 2.3, 1.4, 4.2
ANR5045, 5.0, 5.0, 4.5, 4.0, 1.4, 2.2, 2.3, 1.4, 4.2
ANR6020, 6.0, 6.0, 2.0, 4.9, 1.7, 2.6, 2.8, 1.7, 5.7
ANR6028, 6.0, 6.0, 2.8, 4.9, 1.7, 2.6, 2.8, 1.7, 5.7
ANR6045, 6.0, 6.0, 4.5, 4.9, 1.7, 2.6, 2.8, 1.7, 5.7
ANR8040, 8.0, 8.0, 4.2, 6.3, 2.0, 4.0, 3.8, 2.2, 7.5
ANR8065, 8.0, 8.0, 6.5, 6.3, 2.0, 4.0, 3.8, 2.2, 7.5
